"recipient","pic_seen","site_duration","spend","register"
162,"Sharp Turn",10.7,17.42,1
163,"Starting Line",23.71,14.9,0
164,"Racers in Action",18.6,17.8,0
165,"Sharp Turn",10.6,14.22,1
166,"Sharp Turn",10.6,16.32,1
167,"Sharp Turn",10.8,19.22,1
168,"Starting Line",27.11,11.7,0
169,"Starting Line",22.01,12.8,0
170,"Starting Line",27.11,15.2,0
171,"Racers in Action",25.5,16.7,1
172,"Sharp Turn",10.7,17.22,0
173,"Racers in Action",24.9,18.4,1
174,"Racers in Action",22.8,17.6,0
175,"Racers in Action",23.7,16.9,1
176,"Racers in Action",23.6,16.2,0
177,"Starting Line",23.21,16.8,0
178,"Racers in Action",23.8,15.4,0
179,"Racers in Action",23.2,17,1
180,"Starting Line",28.91,14.7,0
181,"Starting Line",25.61,12.4,0
182,"Racers in Action",21.7,15.2,0
183,"Starting Line",22.31,12.7,0
184,"Sharp Turn",10.5,19.82,1
185,"Sharp Turn",11.3,19.52,1
186,"Sharp Turn",11,22.92,1
187,"Sharp Turn",11.5,17.22,0
188,"Starting Line",29.21,9.9,0
189,"Racers in Action",18.3,16.2,1
190,"Sharp Turn",10.2,21.12,0
191,"Sharp Turn",10.8,19.22,1
192,"Starting Line",29.11,11.4,1
193,"Starting Line",32.01,14.7,0
194,"Sharp Turn",11,19.82,0
195,"Racers in Action",22.3,15.2,1
196,"Sharp Turn",11.1,18.42,0
197,"Racers in Action",21,18.7,0
198,"Sharp Turn",10.9,16.42,0
199,"Racers in Action",24.8,17.6,1
200,"Sharp Turn",10.7,19.72,1
201,"Starting Line",24.11,16.4,0
202,"Starting Line",24.01,12,0
203,"Starting Line",21.31,11.4,0
204,"Racers in Action",23.9,14.6,0
205,"Starting Line",18.41,14.3,0
206,"Sharp Turn",10.2,21.92,0
207,"Sharp Turn",10.7,16.62,0
208,"Starting Line",28.61,14.1,1
209,"Sharp Turn",10.9,19.82,1
210,"Sharp Turn",10.6,17.72,0
211,"Racers in Action",21.3,17.7,0
212,"Racers in Action",26,16.7,1
213,"Sharp Turn",11.9,15.72,0
214,"Sharp Turn",11.8,19.42,1
215,"Sharp Turn",12.2,19.72,0
216,"Sharp Turn",11.5,20.32,0
217,"Sharp Turn",11,12.62,0
218,"Racers in Action",19.7,16.1,0
219,"Starting Line",23.91,13,1
220,"Starting Line",28.31,9.5,0
221,"Starting Line",27.21,10.6,0
222,"Sharp Turn",11.4,20.02,1
223,"Racers in Action",19.5,15.4,0
224,"Racers in Action",25.8,15.7,0
225,"Starting Line",20.01,16.8,0
226,"Racers in Action",21.7,15.8,1
227,"Starting Line",21.71,18.3,0
228,"Starting Line",27.61,11.3,0
229,"Sharp Turn",10.9,14.72,0
230,"Racers in Action",27.5,16.3,0
231,"Racers in Action",20.9,16.7,0
232,"Racers in Action",22.8,15.5,1
233,"Sharp Turn",11.8,20.22,0
234,"Racers in Action",17.6,16.5,0
235,"Racers in Action",25,17.1,0
236,"Starting Line",13.71,16.4,1
237,"Racers in Action",23.4,15.6,1
238,"Starting Line",23.41,14.2,1
239,"Racers in Action",23.2,16.2,1
240,"Starting Line",22.81,16.7,0
241,"Sharp Turn",12.1,17.62,0
242,"Sharp Turn",11.6,17.72,0
243,"Sharp Turn",11.6,18.62,0
244,"Sharp Turn",11.3,17.02,0
245,"Sharp Turn",11.2,17.42,1
246,"Starting Line",25.01,17.3,1
247,"Racers in Action",22,18.5,0
248,"Starting Line",22.61,12.2,0
249,"Starting Line",21.91,15.5,1
250,"Starting Line",27.71,13.7,0
251,"Racers in Action",26.3,17.8,1
252,"Starting Line",24.41,13.7,1
253,"Sharp Turn",10.7,14.62,1
254,"Racers in Action",23,16.9,1
255,"Starting Line",20.41,10.8,1
256,"Sharp Turn",10.3,18.92,0
257,"Starting Line",21.91,15.2,0
258,"Starting Line",27.31,15.5,1
259,"Racers in Action",26.3,16.7,1
260,"Sharp Turn",10.4,17.92,0
261,"Starting Line",18.11,14.4,0
262,"Sharp Turn",11.2,18.32,0
263,"Starting Line",18.21,12.9,0
264,"Racers in Action",21.6,17.4,0
265,"Sharp Turn",11.6,14.72,0
266,"Starting Line",25.21,15.3,0
267,"Starting Line",18.61,14.5,0
268,"Racers in Action",24.8,17.5,0
269,"Racers in Action",23.5,17.6,1
270,"Racers in Action",24.5,16,1
271,"Starting Line",25.91,13.2,0
272,"Sharp Turn",10.7,19.62,0
273,"Starting Line",17.41,15.7,1
274,"Sharp Turn",10.5,17.22,0
275,"Racers in Action",24.4,16.3,0
276,"Starting Line",29.31,9.5,0
277,"Sharp Turn",11.7,17.62,0
278,"Racers in Action",23.9,15.8,0
279,"Racers in Action",27,18.1,0
280,"Starting Line",29.91,11.8,0
281,"Starting Line",22.01,14.4,0
282,"Sharp Turn",10.8,19.72,0
283,"Racers in Action",24.7,16.4,0
284,"Racers in Action",23.4,16.6,1
285,"Racers in Action",23.8,17,0
286,"Racers in Action",22.3,17.3,1
287,"Sharp Turn",10.2,23.72,0
288,"Starting Line",31.11,15.6,1
289,"Racers in Action",20.4,16.1,1
290,"Racers in Action",23.9,18,1
291,"Sharp Turn",10.6,18.32,0
292,"Racers in Action",23.9,17.4,0
293,"Starting Line",27.21,13.4,0
294,"Sharp Turn",11,12.72,1
295,"Sharp Turn",11.4,15.22,0
296,"Starting Line",18.81,16.7,0
297,"Starting Line",29.71,11.6,0
298,"Racers in Action",22.9,16.8,0
299,"Sharp Turn",9.7,19.22,1
300,"Racers in Action",23.9,16.8,0
301,"Starting Line",25.91,10.3,1
302,"Starting Line",20.31,11.4,0
303,"Sharp Turn",10.7,16.62,0
304,"Starting Line",30.91,15.1,1
305,"Racers in Action",27,17.7,0
306,"Racers in Action",21.4,16.1,1
307,"Starting Line",20.71,17.1,1
308,"Sharp Turn",10.8,18.12,0
309,"Starting Line",20.51,14.9,0
310,"Starting Line",23.71,14.3,0
311,"Starting Line",15.11,12.5,1
312,"Sharp Turn",10,17.52,1
313,"Starting Line",19.51,13.3,0
314,"Racers in Action",21.2,16.2,1
315,"Sharp Turn",10.6,15.72,1
316,"Racers in Action",23.8,17.1,0
317,"Racers in Action",24.2,16.8,0
318,"Starting Line",27.61,13.7,1
319,"Starting Line",23.81,16.6,1
320,"Starting Line",23.41,13.6,0
321,"Racers in Action",25,14.8,0
322,"Sharp Turn",10.7,25.22,0
323,"Sharp Turn",10.8,18.92,0
324,"Racers in Action",23.5,17.6,0
325,"Sharp Turn",11.6,22.92,1
326,"Sharp Turn",11.1,12.32,1
327,"Starting Line",30.51,15.3,1
328,"Sharp Turn",11.1,17.32,0
329,"Sharp Turn",11.6,21.12,0
330,"Starting Line",24.41,12.1,1
331,"Sharp Turn",10.5,18.32,1
332,"Racers in Action",20.8,16,1
333,"Starting Line",19.81,11.7,0
334,"Sharp Turn",11,20.72,1
335,"Starting Line",27.41,16.4,1
336,"Starting Line",23.21,9.9,0
337,"Starting Line",25.01,12.7,1
338,"Sharp Turn",11.4,25.02,1
339,"Starting Line",19.71,17.2,1
340,"Starting Line",18.71,16.2,0
341,"Sharp Turn",11.5,21.52,0
342,"Racers in Action",23,18.4,0
343,"Racers in Action",23.1,16.7,1
344,"Sharp Turn",10.8,15.32,1
345,"Racers in Action",23.6,16.6,1
346,"Racers in Action",27.7,17.5,0
347,"Sharp Turn",10.5,19.82,0
348,"Starting Line",20.61,17.3,1
349,"Sharp Turn",11.6,24.12,0
350,"Sharp Turn",10.2,14.72,1
351,"Starting Line",21.41,11.3,0
352,"Racers in Action",23,18.3,0
353,"Sharp Turn",10.7,18.42,0
354,"Racers in Action",24.3,17.9,1
355,"Racers in Action",19.8,15.7,1
356,"Sharp Turn",10.9,18.92,0
357,"Racers in Action",23.2,17.9,1
358,"Racers in Action",22,16.3,0
359,"Racers in Action",20.4,17,0
360,"Racers in Action",23.6,17.4,1
361,"Sharp Turn",9.9,15.62,1
362,"Sharp Turn",11.3,19.92,1
363,"Racers in Action",27.9,17.4,0
364,"Starting Line",25.21,14.1,0
365,"Racers in Action",25.7,15.6,0
366,"Racers in Action",24.1,16.5,1
367,"Starting Line",20.61,16.1,1
368,"Sharp Turn",11,18.52,1
369,"Sharp Turn",11.7,18.52,1
370,"Starting Line",19.01,11.5,0
371,"Sharp Turn",10.9,17.82,0
372,"Sharp Turn",10.2,19.52,0
373,"Racers in Action",25.7,16.4,0
374,"Starting Line",17.91,12.4,0
375,"Starting Line",29.41,16,0
376,"Starting Line",20.61,12.1,1
377,"Racers in Action",22.5,16.6,1
378,"Starting Line",26.21,15.5,1
379,"Starting Line",20.21,14.3,0
380,"Racers in Action",21.7,16.9,1
381,"Sharp Turn",10,18.82,0
382,"Starting Line",26.71,12.8,0
383,"Sharp Turn",12.1,13.52,0
384,"Racers in Action",20.1,17.2,1
385,"Racers in Action",24.7,16.3,1
386,"Starting Line",25.31,16.7,0
387,"Starting Line",23.51,16,0
388,"Sharp Turn",11.4,16.62,0
389,"Racers in Action",24.4,16.9,0
390,"Sharp Turn",10.3,18.82,1
391,"Racers in Action",22.1,17.3,0
392,"Racers in Action",23.6,17.8,0
393,"Sharp Turn",11.6,18.32,0
394,"Racers in Action",24.4,15.9,0
395,"Racers in Action",25.3,17.4,1
396,"Sharp Turn",11.8,16.32,0
397,"Starting Line",26.21,12.6,0
398,"Sharp Turn",10.7,20.72,1
399,"Racers in Action",22.4,15.8,0
400,"Starting Line",25.81,11.1,0
401,"Starting Line",23.81,14.4,0
402,"Racers in Action",25,16.5,0
403,"Racers in Action",21.2,14.8,0
404,"Racers in Action",23.9,17.9,0
405,"Sharp Turn",11.2,16.92,1
406,"Starting Line",30.31,15.6,0
407,"Racers in Action",22.5,16.1,0
408,"Starting Line",26.21,15.1,0
409,"Sharp Turn",11,20.72,1
410,"Racers in Action",25.1,17.3,1
411,"Sharp Turn",11.3,19.12,0
412,"Sharp Turn",11.3,16.82,0
413,"Racers in Action",25.8,16,0
414,"Starting Line",22.01,17.3,0
415,"Sharp Turn",11.7,15.42,0
416,"Sharp Turn",10.3,15.92,0
417,"Starting Line",35.61,13,0
418,"Starting Line",26.01,14.7,0
419,"Racers in Action",21.8,15.9,1
420,"Starting Line",18.81,13,0
421,"Starting Line",24.31,16.6,0
422,"Starting Line",23.91,12,0
423,"Racers in Action",25.1,16.1,1
424,"Racers in Action",20.6,16.9,0
425,"Sharp Turn",11.1,18.82,0
426,"Starting Line",22.11,14,1
427,"Starting Line",30.11,17.3,1
428,"Starting Line",30.31,9.9,0
429,"Starting Line",20.81,13.1,0
430,"Racers in Action",24.5,17.5,0
431,"Sharp Turn",11.5,20.22,1
432,"Sharp Turn",10.2,19.62,1
433,"Starting Line",21.31,17.1,0
434,"Racers in Action",26,16.7,1
435,"Sharp Turn",10.5,20.92,0
436,"Sharp Turn",10.3,20.52,1
437,"Sharp Turn",11,16.82,1
438,"Racers in Action",23.6,17.3,1
439,"Racers in Action",23.4,15.9,0
440,"Sharp Turn",11.4,14.62,0
441,"Sharp Turn",11,14.52,1
442,"Racers in Action",25.3,15.8,1
443,"Racers in Action",24.7,17.3,0
444,"Racers in Action",25.8,16.4,1
445,"Racers in Action",23.9,18.8,0
446,"Starting Line",25.31,16,1
447,"Starting Line",19.31,12.9,1
448,"Racers in Action",23.1,17.9,1
449,"Racers in Action",26.1,15.6,1
450,"Sharp Turn",12,20.42,0
451,"Sharp Turn",11.4,16.12,1
452,"Sharp Turn",9.9,17.92,0
453,"Sharp Turn",10.8,20.02,1
454,"Racers in Action",24.9,16.1,1
455,"Starting Line",22.21,13,0
456,"Racers in Action",26.4,16.3,1
457,"Sharp Turn",10.1,18.92,0
458,"Starting Line",26.21,11.5,0
459,"Racers in Action",25.1,15.5,1
460,"Sharp Turn",11.2,22.02,1
461,"Racers in Action",20.7,17.3,1
462,"Starting Line",17.11,18.4,1
463,"Sharp Turn",11.1,14.92,1
464,"Sharp Turn",11.5,20.42,0
465,"Sharp Turn",11.8,18.22,0
466,"Starting Line",19.31,13.8,1
467,"Starting Line",16.11,17.2,0
468,"Starting Line",25.61,15.7,1
469,"Starting Line",23.51,11.7,0
470,"Racers in Action",18.4,17.6,0
471,"Racers in Action",23.4,16.8,1
472,"Racers in Action",24,16.5,1
473,"Racers in Action",21.2,16,0
474,"Sharp Turn",10.7,21.62,0
475,"Racers in Action",20.4,16.4,1
476,"Sharp Turn",11.3,19.22,0
477,"Starting Line",22.51,11.3,1
478,"Racers in Action",26,17.6,1
479,"Racers in Action",18.4,16.9,1
480,"Racers in Action",22,15.6,1
481,"Sharp Turn",10.6,20.72,0
482,"Starting Line",28.71,17.5,0
483,"Sharp Turn",10.9,19.02,0
484,"Sharp Turn",10.1,18.02,1
485,"Starting Line",22.41,11,1
486,"Sharp Turn",11.2,21.92,0
487,"Starting Line",21.11,12.9,0
488,"Racers in Action",30.7,16.6,0
489,"Racers in Action",24,18.3,1
490,"Racers in Action",21.5,15.7,0
491,"Racers in Action",25.1,16.3,0
492,"Racers in Action",24,15.5,0
493,"Starting Line",13.91,15.4,0
494,"Sharp Turn",10.8,20.32,0
495,"Racers in Action",24.1,15.4,1
496,"Starting Line",27.91,14.3,0
497,"Racers in Action",20.1,14.9,1
498,"Starting Line",26.61,11.6,0
499,"Racers in Action",20.1,17.8,1
500,"Racers in Action",26,17.2,1
501,"Sharp Turn",10.9,21.42,0
502,"Racers in Action",22.8,17.2,1
503,"Sharp Turn",11.3,20.92,0
504,"Starting Line",24.61,13.9,0
505,"Starting Line",19.21,11.5,1
506,"Sharp Turn",11.5,15.12,0
507,"Starting Line",19.71,14.5,0
508,"Racers in Action",24.4,16.8,1
509,"Racers in Action",22.4,17.1,0
510,"Starting Line",28.91,11.9,0
511,"Starting Line",25.11,19.1,1
512,"Starting Line",19.91,16.7,1
513,"Starting Line",27.81,14.1,1
514,"Sharp Turn",11.5,16.62,0
515,"Sharp Turn",11,14.82,0
516,"Starting Line",24.81,13.6,0
517,"Starting Line",22.01,13.3,0
518,"Sharp Turn",11,18.92,1
519,"Sharp Turn",11.4,15.82,1
520,"Racers in Action",20.5,16.8,1
521,"Starting Line",27.21,13.9,0
522,"Racers in Action",26.4,16.7,1
523,"Racers in Action",22.7,16,1
524,"Sharp Turn",11.4,18.72,0
525,"Racers in Action",22.2,17.7,0
526,"Starting Line",24.61,14.1,1
527,"Sharp Turn",10.9,21.42,0
528,"Starting Line",34.31,14.1,0
529,"Sharp Turn",11.1,16.52,0
530,"Racers in Action",24,17.4,0
531,"Sharp Turn",11.8,17.32,0
532,"Racers in Action",20.9,17.5,1
533,"Starting Line",23.91,11.1,0
534,"Starting Line",26.21,12.7,1
535,"Racers in Action",21.2,17.2,0
536,"Sharp Turn",11.4,17.32,1
537,"Racers in Action",19.7,17.4,0
538,"Racers in Action",26.8,16.7,1
539,"Starting Line",21.71,17.4,0
540,"Sharp Turn",10.5,19.42,0
541,"Sharp Turn",9.7,12.82,0
542,"Racers in Action",25.7,17.8,0
543,"Sharp Turn",10.6,17.62,0
544,"Racers in Action",25.2,17.5,1
545,"Sharp Turn",11.9,18.02,0
546,"Sharp Turn",10.2,19.82,1
547,"Starting Line",25.71,14.6,1
548,"Racers in Action",26.1,18.4,0
549,"Racers in Action",27.5,17.6,0
550,"Racers in Action",24.1,17.2,0
551,"Racers in Action",23.2,16,1
552,"Sharp Turn",10.8,13.52,1
553,"Racers in Action",23.1,16,1
554,"Starting Line",25.11,13.7,0
555,"Sharp Turn",10.7,21.02,1
556,"Sharp Turn",10.4,18.12,0
557,"Racers in Action",24.5,16.6,1
558,"Sharp Turn",12.3,22.52,0
559,"Starting Line",23.11,15.5,0
560,"Starting Line",22.01,10.5,1
561,"Racers in Action",24.8,16.4,1
562,"Sharp Turn",10.4,20.62,0
563,"Starting Line",19.91,17.3,0
564,"Sharp Turn",10.6,19.22,0
565,"Sharp Turn",11,16.52,0
566,"Racers in Action",21.2,16.2,0
567,"Starting Line",20.81,17.5,1
568,"Sharp Turn",10.8,20.72,1
569,"Racers in Action",24.7,17,1
570,"Sharp Turn",11.4,15.22,1
571,"Racers in Action",22.8,16.9,0
572,"Starting Line",31.91,11.9,0
573,"Racers in Action",23.5,17.2,0
574,"Starting Line",23.81,15.7,0
575,"Sharp Turn",10.7,14.42,1
576,"Sharp Turn",11.1,15.72,1
577,"Racers in Action",23.7,16.8,1
578,"Sharp Turn",11.3,23.32,0
579,"Sharp Turn",10.6,18.92,1
580,"Racers in Action",24.1,17.9,0
581,"Racers in Action",24.1,16,0
582,"Starting Line",21.71,14.5,0
583,"Starting Line",24.61,14.3,1
584,"Sharp Turn",11.5,21.32,0
585,"Sharp Turn",9.9,20.32,0
586,"Racers in Action",19.4,15.7,1
587,"Starting Line",25.01,15.9,0
588,"Racers in Action",23.4,16,0
589,"Sharp Turn",11.1,20.32,1
590,"Racers in Action",24.4,17.1,0
591,"Sharp Turn",10.9,18.92,0
592,"Racers in Action",21.5,17.9,1
593,"Starting Line",21.91,11,1
594,"Starting Line",31.61,16.6,0
595,"Starting Line",25.71,16.6,0
596,"Sharp Turn",11.5,18.72,1
597,"Racers in Action",23.1,16,0
598,"Racers in Action",23.1,16.2,1
599,"Starting Line",18.61,17.5,1
600,"Racers in Action",22.3,16.9,1
601,"Racers in Action",22.3,15.6,0
602,"Sharp Turn",11.3,21.22,1
603,"Starting Line",29.41,8.9,0
604,"Racers in Action",22.8,15.9,0
605,"Racers in Action",23.4,16.7,0
606,"Starting Line",18.91,14.2,0
607,"Sharp Turn",11.6,18.12,0
608,"Sharp Turn",11.2,17.72,0
609,"Racers in Action",23.4,19.2,1
610,"Starting Line",25.71,17.9,0
611,"Racers in Action",20,16.4,0
612,"Racers in Action",20.8,18.7,1
613,"Racers in Action",24.2,17.8,1
614,"Racers in Action",20.3,18.2,1
615,"Sharp Turn",10.8,20.12,0
616,"Sharp Turn",10.3,21.62,0
617,"Racers in Action",23.7,17.8,0
618,"Sharp Turn",10.5,20.72,1
619,"Racers in Action",26.9,17.5,1
620,"Racers in Action",24.3,16.2,0
621,"Racers in Action",25.5,17.7,0
622,"Starting Line",30.31,16,1
623,"Racers in Action",21.8,15.9,1
624,"Racers in Action",23.3,16.8,0
625,"Racers in Action",20.3,17.1,0
626,"Racers in Action",21.8,15.8,1
627,"Sharp Turn",10.9,18.22,0
628,"Starting Line",23.81,13.8,0
629,"Racers in Action",21.6,18.2,0
630,"Sharp Turn",11.8,17.12,0
631,"Sharp Turn",10.2,18.22,0
632,"Racers in Action",27.2,17.1,1
633,"Racers in Action",18.2,16.9,0
634,"Racers in Action",23.7,17.6,1
635,"Starting Line",30.41,14.2,1
636,"Starting Line",25.71,14.1,0
637,"Racers in Action",24.1,17.8,1
638,"Starting Line",25.11,15.7,0
639,"Sharp Turn",11.7,20.32,0
640,"Starting Line",20.11,14.1,0
641,"Sharp Turn",11,18.72,1
642,"Racers in Action",21,18,0
643,"Starting Line",23.21,9.9,1
644,"Sharp Turn",10.5,20.42,1
645,"Racers in Action",25.1,16.6,0
646,"Racers in Action",27.4,17,1
647,"Racers in Action",20.5,17.8,1
648,"Racers in Action",21.4,16.6,0
649,"Starting Line",25.31,16.8,1
650,"Sharp Turn",10.8,19.32,0
651,"Racers in Action",24.2,18,1
652,"Sharp Turn",10.8,18.82,0
653,"Starting Line",27.11,17,0
654,"Racers in Action",23.3,17.2,0
655,"Sharp Turn",10.3,15.32,1
656,"Starting Line",26.71,16.2,0
657,"Racers in Action",22.1,16.9,0
658,"Sharp Turn",10,17.82,0
659,"Sharp Turn",10.6,19.42,0
660,"Racers in Action",16.7,16.8,1
661,"Starting Line",24.41,13,0
662,"Starting Line",24.21,12.8,0
663,"Starting Line",20.51,13.4,0
664,"Sharp Turn",11.6,16.82,0
665,"Sharp Turn",11.6,15.82,0
666,"Racers in Action",23.8,16.6,0
667,"Sharp Turn",11.1,22.02,1
668,"Sharp Turn",10,17.22,0
669,"Racers in Action",25.5,15.2,1
670,"Racers in Action",21.7,17.1,0
671,"Sharp Turn",10.9,18.22,1
672,"Racers in Action",23.1,17.3,0
673,"Starting Line",19.61,12.3,0
674,"Racers in Action",19.6,16.5,1
675,"Starting Line",23.71,11.5,1
676,"Starting Line",26.31,12.5,0
677,"Starting Line",20.61,13,0
678,"Sharp Turn",10.8,22.32,0
679,"Starting Line",26.21,15.1,0
680,"Sharp Turn",11,15.42,0
681,"Racers in Action",22.8,16.5,1
682,"Starting Line",19.21,11.1,1
683,"Racers in Action",25.4,16.4,0
684,"Starting Line",28.61,16.1,0
685,"Sharp Turn",10.8,18.32,0
686,"Starting Line",25.51,16.9,0
687,"Starting Line",23.91,13.5,1
688,"Sharp Turn",10.5,21.12,0
689,"Sharp Turn",11.3,18.42,1
690,"Racers in Action",22.8,15.9,1
691,"Sharp Turn",10.9,20.32,0
692,"Racers in Action",22.1,16.3,1
693,"Sharp Turn",11.2,17.22,0
694,"Starting Line",21.11,18.4,1
695,"Racers in Action",26.8,17.8,1
696,"Sharp Turn",10.8,16.82,1
697,"Starting Line",19.11,12.9,0
698,"Starting Line",23.11,16.2,0
699,"Starting Line",27.41,15,0
700,"Sharp Turn",10.8,16.72,0
701,"Starting Line",23.91,14.1,1
702,"Sharp Turn",11.4,17.52,1
703,"Racers in Action",24.4,17.3,1
704,"Racers in Action",22.9,14.3,0
705,"Sharp Turn",12.1,19.42,0
706,"Starting Line",19.91,14,0
707,"Starting Line",27.11,15.5,1
