"householdID","est_inc_USD","est_netw_USD","hhold_field","hhold_oldest","hhold_pax","hhold_youngest","homeState","hhold_car","stream_subs","primary"
269,74847,425690,"Services",52,8,12,"Maine","Pickup",3,"0"
277,83850,466383,"Govt",52,7,14,"Connecticut","Pickup",3,"0"
283,72951,412476,"Tech",50,6,13,"Quebec","SUV",3,"0"
287,50243,379033,"Education",52,4,14,"Maine","SUV",3,"0"
295,115598,567673,"Manufacturing",51,5,16,"New Hampshire","SUV",1,"0"
300,62122,359218,"Tech",51,6,11,"Quebec","SUV",2,"0"
303,55879,427445,"Govt",49,2,8,"Maine","",3,"0"
305,134916,488979,"Tech",49,3,12,"Maine","LuxurySedan",2,"0"
323,106871,455628,"Finance",48,5,7,"Maine","",3,"0"
338,115475,494055,"Finance",52,4,11,"Maine","Pickup",2,"0"
344,107777,438501,"Education",50,6,14,"US_Other","SUV",2,"0"
355,64508,282055,"Finance",48,3,18,"Quebec","LuxurySedan",3,"0"
357,88840,470647,"Services",59,6,14,"Maine","SUV",3,"0"
369,50097,403804,"Services",49,4,18,"Maine","Sedan",3,"0"
370,159494,559036,"Finance",49,2,9,"Vermont","SUV",3,"1"
371,95833,507339,"Services",52,5,17,"New Hampshire","SUV",2,"0"
380,65324,415988,"Govt",48,2,16,"Vermont","Sedan",3,"0"
385,116355,559683,"Services",50,1,50,"Maine","SUV",3,"0"
404,72788,477387,"Education",49,5,13,"Maine","SUV",2,"1"
407,126852,411750,"Finance",50,1,50,"US_Other","Compact/Hybrid",3,"0"
416,108539,489819,"Govt",48,3,14,"Vermont","LuxurySedan",2,"0"
431,52058,368056,"Govt",50,3,10,"Maine","SUV",2,"0"
441,63300,431329,"Tech",50,6,9,"Maine","SUV",3,"0"
443,49439,389080,"Education",50,3,12,"Maine","Sedan",2,"1"
445,122347,438580,"Tech",48,1,48,"Ontario","LuxurySedan",3,"0"
462,59945,430202,"Govt",51,5,16,"Maine","LuxurySedan",1,"0"
465,122630,480135,"Govt",50,5,17,"Maine","Pickup",1,"1"
470,102674,370728,"Tech",49,7,12,"New Hampshire","SUV",1,"0"
473,125589,398134,"Finance",54,6,19,"Maine","SUV",0,"0"
476,85633,525859,"Govt",53,5,14,"Maine","SUV",1,"0"
483,83055,547759,"Govt",51,5,14,"Maine","LuxurySedan",2,"0"
488,139493,569248,"Finance",49,5,12,"Maine","Sedan",2,"0"
493,110334,514198,"Finance",49,5,9,"Vermont","SUV",2,"0"
494,188730,605085,"Finance",48,4,14,"Maine","LuxurySedan",1,"0"
496,114431,464113,"Govt",50,1,50,"New Hampshire","Sedan",3,"0"
512,106795,540798,"Tech",50,6,7,"Maine","LuxurySedan",3,"0"
513,88585,434986,"Govt",48,5,14,"Maine","Pickup",2,"1"
527,147061,685114,"Education",48,5,14,"Quebec","Sedan",3,"0"
529,61991,363696,"Services",54,3,16,"New Hampshire","SUV",3,"0"
531,33560,412982,"Govt",49,2,15,"New Hampshire","LuxurySedan",3,"0"
545,166452,508269,"Tech",48,4,6,"Connecticut","SUV",2,"0"
546,78699,459225,"Govt",51,3,15,"Maine","LuxurySedan",2,"0"
566,135753,490803,"Finance",50,7,6,"Maine","Compact/Hybrid",2,"1"
571,129300,468318,"Tech",49,3,13,"US_Other","Compact/Hybrid",1,"0"
586,104561,597778,"Govt",48,2,3,"Maine","SUV",0,"0"
603,141784,494526,"Tech",52,4,16,"Maine","SUV",1,"1"
607,92341,537550,"Services",54,3,19,"Connecticut","Sedan",0,"0"
615,94976,445475,"Govt",57,4,14,"Maine","Sedan",2,"0"
616,87410,569343,"Govt",48,4,10,"New York","Sedan",3,"0"
622,66219,499562,"Govt",53,3,14,"US_Other","LuxurySedan",3,"0"
623,97275,436291,"Govt",56,4,14,"US_Other","Sedan",1,"1"
624,110612,577915,"Services",51,4,13,"Maine","Compact/Hybrid",2,"0"
631,102875,459235,"Tech",48,7,10,"Maine","LuxurySedan",3,"0"
646,79499,486708,"Govt",52,7,16,"Maine","SUV",3,"0"
656,101887,469549,"Tech",51,5,12,"Maine","LuxurySedan",1,"0"
657,123774,510464,"Tech",52,7,14,"Maine","SUV",3,"0"
663,145160,582058,"Finance",51,6,9,"Maine","SUV",0,"0"
664,61845,363229,"Services",54,5,15,"Vermont","Sedan",3,"1"
671,138995,611451,"Tech",48,5,13,"New York","SUV",3,"0"
681,86279,404137,"Finance",52,5,13,"Vermont","Pickup",3,"0"
688,57566,444126,"Education",49,6,16,"Rhode Island","SUV",3,"0"
692,70469,436145,"Govt",50,5,14,"Maine","LuxurySedan",2,"1"
709,109729,615824,"Education",53,5,21,"Maine","",0,"0"
712,88822,443068,"Services",50,4,9,"Maine","LuxurySedan",2,"0"
714,87824,472189,"Education",57,4,18,"Vermont","SUV",3,"0"
719,120253,471439,"Finance",50,5,9,"Maine","Sedan",2,"0"
723,70397,457439,"Services",48,4,17,"Massachusetts","Sedan",3,"0"
731,124926,441816,"Finance",48,5,7,"Maine","Sedan",3,"0"
745,132826,490475,"Finance",48,4,10,"Massachusetts","Pickup",3,"1"
749,76236,280158,"Manufacturing",53,5,13,"Maine","Sedan",3,"0"
751,154693,438349,"Tech",50,3,9,"Maine","LuxurySedan",3,"1"
752,135601,457253,"Manufacturing",49,1,49,"New York","Sedan",0,"0"
770,102262,352163,"Finance",50,7,13,"New York","Compact/Hybrid",3,"0"
774,91688,415480,"Finance",48,4,4,"Vermont","Sedan",2,"0"
789,65604,476751,"Govt",48,6,15,"Maine","SUV",3,"0"
801,95090,341728,"Finance",48,4,11,"Ontario","SUV",3,"0"
815,94757,433331,"Services",49,3,13,"New Hampshire","LuxurySedan",1,"0"
817,91352,487502,"Education",50,4,15,"US_Other","SUV",3,"0"
818,90155,411440,"Manufacturing",49,4,10,"Vermont","Sedan",3,"0"
819,133378,573185,"Finance",49,2,14,"New Hampshire","SUV",3,"0"
843,99566,405932,"Finance",52,3,10,"Maine","SUV",3,"0"
845,96564,369159,"Tech",50,3,13,"Maine","Sedan",2,"0"
863,99864,462087,"Services",56,3,16,"Maine","SUV",3,"0"
867,143746,578647,"Finance",54,2,4,"New Hampshire","Compact/Hybrid",0,"0"
868,77768,462175,"Govt",56,3,16,"New Hampshire","LuxurySedan",1,"0"
893,108527,568133,"Education",51,5,12,"New Hampshire","Sedan",1,"0"
919,124779,453277,"Other",48,1,48,"Maine","SUV",3,"0"
923,70710,416032,"Tech",49,4,12,"Vermont","LuxurySedan",2,"0"
926,65942,352492,"Finance",48,5,9,"US_Other","Pickup",2,"0"
929,166526,587007,"Finance",49,3,8,"Ontario","SUV",3,"0"
943,104294,552221,"Govt",51,4,9,"New York","Sedan",3,"0"
950,31920,368318,"Education",52,8,16,"New Hampshire","Compact/Hybrid",3,"0"
957,117983,451736,"Education",50,3,12,"Quebec","Compact/Hybrid",3,"0"
968,53665,266759,"Govt",50,7,18,"Can_Other","Sedan",1,"0"
975,119697,392276,"Finance",51,4,14,"Maine","SUV",0,"0"
980,126049,496149,"Finance",54,2,10,"New York","SUV",2,"0"
1014,39748,260337,"Finance",49,7,14,"Maine","LuxurySedan",0,"0"
1027,120158,569721,"Education",48,1,48,"Maine","LuxurySedan",0,"1"
1031,136030,572583,"Finance",53,5,13,"Maine","LuxurySedan",3,"0"
1054,83302,482950,"Finance",53,5,10,"Maine","SUV",3,"0"
1057,33964,394786,"Services",49,1,49,"Ontario","Compact/Hybrid",3,"0"
1070,138872,519256,"Tech",50,5,15,"New York","Sedan",3,"0"
1083,48264,410056,"Govt",51,2,18,"Maine","SUV",0,"0"
1084,133656,525269,"Tech",49,2,21,"Maine","Compact/Hybrid",3,"0"
1092,110357,530521,"Govt",49,5,4,"Maine","SUV",1,"0"
1105,101883,607054,"Govt",57,5,10,"New Hampshire","Compact/Hybrid",2,"0"
1123,107306,586547,"Services",57,4,20,"Vermont","",3,"0"
1154,97527,435080,"Tech",48,4,10,"Maine","SUV",2,"0"
1155,68291,334733,"Tech",49,3,13,"Maine","LuxurySedan",2,"1"
1159,101726,587428,"Govt",49,5,11,"Maine","SUV",3,"0"
1163,68646,412184,"Govt",48,5,7,"Maine","Compact/Hybrid",2,"0"
1165,63970,489594,"Govt",49,2,10,"Maine","LuxurySedan",3,"1"
1167,100100,374140,"Finance",50,5,12,"Maine","Sedan",2,"0"
1169,82164,500298,"Services",48,7,13,"New York","SUV",2,"0"
1170,64391,326413,"Services",51,4,14,"Quebec","Compact/Hybrid",2,"0"
1171,39739,342605,"Education",51,1,51,"Vermont","LuxurySedan",3,"0"
1178,44528,370101,"Tech",49,6,12,"Maine","SUV",1,"0"
1190,97093,508201,"Govt",54,1,14,"New Hampshire","",2,"1"
1199,105883,527274,"Govt",50,3,14,"Can_Other","SUV",3,"0"
1201,127848,477427,"Finance",48,6,12,"US_Other","Compact/Hybrid",0,"0"
1210,99421,444184,"Education",51,1,51,"Maine","SUV",2,"0"
1214,94687,502508,"Govt",48,6,11,"Ontario","SUV",3,"1"
1220,98813,535230,"Education",48,5,19,"US_Other","Sedan",1,"0"
1223,56358,337733,"Services",54,4,12,"New Hampshire","SUV",3,"0"
1228,88193,425701,"Govt",48,4,11,"Quebec","LuxurySedan",1,"0"
1233,103692,347444,"Tech",52,6,13,"New York","LuxurySedan",3,"1"
1241,102273,499014,"Other",48,1,48,"Maine","SUV",3,"1"
1242,46568,435248,"Govt",50,6,12,"US_Other","LuxurySedan",2,"0"
1243,59944,445078,"Govt",49,2,14,"Maine","LuxurySedan",3,"0"
1265,67651,394545,"Education",59,2,15,"Maine","Pickup",3,"0"
1269,125416,428952,"Tech",51,5,16,"New Hampshire","SUV",2,"0"
1273,79211,461487,"Govt",53,5,16,"Maine","Pickup",2,"0"
1276,101501,459770,"Services",51,4,12,"Maine","Compact/Hybrid",2,"0"
1286,131073,539740,"Finance",56,5,8,"Maine","SUV",2,"0"
1289,48064,310326,"Finance",49,3,18,"Quebec","Pickup",0,"0"
1305,70812,444914,"Govt",49,4,5,"Vermont","LuxurySedan",3,"0"
1307,70888,449808,"Govt",51,3,10,"Ontario","SUV",2,"0"
1315,138972,574250,"Tech",51,7,5,"Maine","",3,"0"
1325,79488,365818,"Services",48,6,11,"Maine","Sedan",3,"0"
1331,83913,385585,"Other",48,1,48,"New York","SUV",3,"0"
1337,99228,503926,"Govt",49,6,12,"New York","SUV",3,"0"
1339,123176,534556,"Govt",52,5,21,"US_Other","Sedan",2,"0"
1343,69565,496388,"Services",51,2,16,"Maine","Pickup",0,"0"
1347,91004,528254,"Govt",53,2,18,"New Hampshire","Compact/Hybrid",3,"0"
1348,99741,497898,"Govt",48,7,12,"Rhode Island","Sedan",3,"0"
1356,94028,389232,"Finance",60,4,16,"Maine","LuxurySedan",2,"0"
1362,80450,394203,"Finance",49,5,9,"Ontario","Sedan",2,"0"
1367,56407,420198,"Govt",49,4,14,"Rhode Island","LuxurySedan",3,"1"
1378,94789,480230,"Finance",51,3,21,"Vermont","Compact/Hybrid",0,"0"
1405,87490,545036,"Manufacturing",55,2,19,"New Hampshire","LuxurySedan",0,"0"
1407,130156,600351,"Govt",55,4,14,"New Hampshire","SUV",1,"0"
1422,67706,383017,"Tech",51,2,11,"New Hampshire","LuxurySedan",3,"0"
1426,121132,475847,"Finance",53,5,17,"Massachusetts","LuxurySedan",2,"0"
1429,115250,466166,"Tech",52,5,9,"Maine","SUV",2,"0"
1430,104431,491998,"Services",51,5,15,"Rhode Island","Sedan",3,"0"
1435,104813,424244,"Manufacturing",55,4,14,"Maine","Pickup",2,"0"
1437,96001,515328,"Education",49,5,14,"Vermont","Pickup",3,"0"
1456,110557,419617,"Finance",51,2,16,"New York","LuxurySedan",3,"0"
1474,102257,507634,"Education",51,5,13,"Quebec","Sedan",1,"0"
1481,99725,559213,"Govt",50,5,10,"Quebec","Compact/Hybrid",2,"0"
1484,97526,502106,"Tech",49,3,8,"Maine","Sedan",3,"0"
1490,44303,408303,"Education",49,3,14,"Maine","SUV",2,"1"
1496,56985,451527,"Govt",50,6,7,"Maine","Sedan",3,"0"
1497,70036,493619,"Govt",49,3,9,"Maine","SUV",2,"0"
1509,83545,509191,"Education",48,5,18,"Rhode Island","Sedan",3,"0"
1511,80153,416424,"Education",49,5,13,"Maine","",2,"0"
1516,114991,528478,"Finance",50,3,12,"Maine","",1,"0"
1518,115726,502149,"Finance",53,1,53,"Maine","Pickup",1,"0"
1521,113837,491552,"Education",50,6,14,"Maine","Pickup",1,"1"
1522,99658,432795,"Tech",51,2,13,"US_Other","Sedan",2,"1"
1523,92980,435099,"Services",53,4,16,"New Hampshire","SUV",1,"1"
1527,75142,571743,"Manufacturing",53,2,15,"New Hampshire","Compact/Hybrid",3,"0"
1538,70643,420433,"Govt",49,1,14,"New Hampshire","SUV",3,"0"
1550,74871,406125,"Education",48,1,48,"Maine","LuxurySedan",3,"0"
1557,73558,319721,"Tech",50,3,15,"Vermont","",2,"0"
1562,86293,525087,"Govt",55,6,15,"Vermont","SUV",3,"0"
1574,51133,396724,"Govt",48,2,13,"Massachusetts","Pickup",1,"0"
1580,107140,439204,"Govt",50,5,15,"Quebec","Sedan",1,"0"
1587,70060,425642,"Govt",50,4,18,"Quebec","SUV",2,"0"
1597,109146,443302,"Tech",53,4,13,"New Hampshire","Sedan",2,"0"
1601,130962,482570,"Finance",48,5,14,"Vermont","SUV",1,"0"
1603,69804,466179,"Govt",48,5,12,"Maine","SUV",2,"0"
1610,115958,602185,"Services",52,6,19,"Maine","LuxurySedan",3,"0"
1618,49182,420197,"Govt",50,7,13,"Maine","Compact/Hybrid",3,"0"
1623,117695,468567,"Finance",52,4,13,"Vermont","",3,"0"
1636,92935,361964,"Services",48,3,13,"US_Other","Sedan",3,"1"
1641,136009,566050,"Finance",51,7,8,"Quebec","Sedan",2,"0"
1648,74147,401935,"Govt",50,1,50,"New Hampshire","SUV",2,"1"
1656,81735,440081,"Services",48,4,16,"Maine","SUV",3,"0"
1657,84336,473705,"Education",48,3,17,"New York","Pickup",3,"0"
1660,131414,612243,"Services",48,2,16,"US_Other","SUV",1,"0"
1667,99058,504291,"Education",49,4,24,"New Hampshire","Sedan",3,"0"
1677,48316,360351,"Other",51,4,15,"New Hampshire","Sedan",3,"0"
1682,80316,457484,"Manufacturing",48,5,17,"New Hampshire","Sedan",1,"1"
1697,134337,511615,"Tech",49,1,49,"New Hampshire","SUV",0,"1"
1702,82461,427624,"Govt",53,3,19,"Quebec","Sedan",2,"1"
1705,73634,437144,"Services",48,3,14,"Connecticut","Sedan",3,"0"
1711,83839,415552,"Tech",48,4,15,"Ontario","Sedan",3,"0"
1716,98148,456635,"Manufacturing",57,4,17,"Maine","Pickup",2,"0"
1720,105819,517427,"Services",48,4,19,"Massachusetts","SUV",0,"0"
1722,83907,483947,"Services",51,1,51,"Maine","SUV",2,"0"
1737,157839,474710,"Finance",50,6,6,"Maine","LuxurySedan",1,"0"
1745,157724,535768,"Finance",48,5,18,"New York","Sedan",3,"0"
1749,106872,527306,"Education",50,3,13,"Massachusetts","SUV",3,"0"
1755,60582,429207,"Services",48,6,14,"Maine","Pickup",3,"0"
1757,87312,478252,"Finance",49,3,16,"Massachusetts","SUV",2,"0"
1761,104727,503352,"Govt",55,8,14,"Maine","SUV",3,"0"
1775,100349,525746,"Govt",49,7,16,"Maine","LuxurySedan",2,"0"
1796,112765,612492,"Services",50,3,20,"Maine","Sedan",1,"0"
1809,106598,546722,"Education",50,6,20,"Maine","Compact/Hybrid",3,"0"
1812,62726,439473,"Govt",51,6,11,"Maine","Pickup",3,"1"
1825,82118,508326,"Services",52,7,13,"New York","LuxurySedan",1,"0"
1827,131502,536800,"Finance",50,5,13,"Maine","LuxurySedan",0,"0"
1830,114079,555127,"Services",50,5,12,"Quebec","SUV",2,"0"
1839,55463,351624,"Services",48,7,12,"New York","LuxurySedan",2,"0"
1842,71362,443703,"Govt",49,3,18,"US_Other","Pickup",0,"0"
1844,133532,448788,"Tech",48,5,16,"Maine","",3,"0"
1846,150598,572488,"Tech",57,7,10,"Maine","LuxurySedan",1,"0"
1856,97080,464320,"Services",48,4,14,"Maine","",3,"0"
1860,86778,417115,"Govt",53,6,15,"Maine","SUV",2,"0"
1861,75095,504028,"Services",48,7,15,"Maine","SUV",2,"0"
1866,43774,404419,"Govt",53,7,14,"Vermont","SUV",2,"0"
1869,60212,449110,"Education",51,5,12,"Maine","SUV",2,"1"
1872,119328,472651,"Finance",48,3,10,"New Hampshire","Sedan",2,"0"
1882,107249,513779,"Finance",48,3,12,"New York","SUV",2,"0"
1892,105474,421643,"Tech",50,6,4,"New Hampshire","SUV",3,"0"
1898,110097,489455,"Finance",51,5,18,"New Hampshire","Sedan",3,"0"
1900,130776,611868,"Education",51,6,13,"Quebec","Sedan",3,"0"
1906,115309,435386,"Tech",50,4,14,"Maine","SUV",2,"0"
1913,76209,369285,"Tech",56,5,17,"Maine","Compact/Hybrid",2,"0"
1921,54878,388990,"Govt",52,6,12,"New York","Compact/Hybrid",3,"0"
1929,86035,353154,"Manufacturing",60,2,16,"Massachusetts","Pickup",3,"0"
1930,106298,545547,"Tech",49,8,10,"Vermont","Sedan",3,"0"
1933,160114,509012,"Tech",48,2,17,"Vermont","LuxurySedan",3,"0"
1956,61109,339918,"Services",54,4,16,"Maine","SUV",3,"0"
1976,130620,436300,"Tech",51,3,13,"New Hampshire","Sedan",2,"0"
1986,76229,492627,"Govt",54,2,22,"New Hampshire","SUV",3,"1"
1987,129154,480850,"Finance",53,4,10,"Maine","LuxurySedan",3,"0"
1991,126718,608571,"Other",48,4,1,"Rhode Island","LuxurySedan",2,"0"
1994,69175,479994,"Govt",50,4,13,"Maine","SUV",3,"0"
2000,110727,405427,"Finance",49,5,13,"Maine","Compact/Hybrid",3,"0"
2003,43866,414965,"Services",48,6,13,"Maine","Pickup",0,"0"
2018,72671,403104,"Govt",48,5,19,"Maine","SUV",2,"1"
2028,114770,436282,"Finance",54,3,12,"Maine","",2,"0"
2036,106388,520467,"Education",48,6,13,"Maine","Sedan",0,"0"
2038,69070,532004,"Services",48,5,16,"Vermont","SUV",0,"0"
2039,53623,420924,"Manufacturing",55,5,12,"Quebec","Sedan",3,"0"
2042,114183,549016,"Education",49,7,18,"Vermont","SUV",2,"0"
2043,140034,507587,"Tech",48,3,10,"Massachusetts","SUV",3,"0"
2046,108358,538702,"Govt",52,5,14,"Maine","SUV",3,"0"
2049,73088,355133,"Manufacturing",54,5,22,"New Hampshire","Compact/Hybrid",2,"0"
2059,80135,404101,"Services",49,3,18,"New York","Pickup",3,"0"
2060,140571,496443,"Finance",52,6,11,"Maine","SUV",3,"0"
2075,119818,416241,"Tech",51,3,12,"New York","Compact/Hybrid",3,"0"
2093,97483,395451,"Finance",49,7,7,"Maine","",1,"0"
2104,120517,480833,"Finance",50,5,13,"Maine","SUV",3,"0"
2114,114868,553990,"Finance",60,3,18,"Maine","Pickup",0,"0"
2115,93581,409976,"Finance",50,6,9,"Maine","Sedan",3,"1"
2124,64179,451756,"Services",56,1,56,"Vermont","Pickup",3,"0"
2125,102960,480572,"Govt",49,3,13,"Quebec","SUV",3,"0"
2127,122316,575989,"Services",49,2,13,"Ontario","SUV",2,"1"
2134,132520,510545,"Tech",50,7,17,"New Hampshire","SUV",3,"0"
2147,80303,450712,"Tech",54,4,12,"New Hampshire","Pickup",3,"0"
2149,99881,612949,"Govt",49,8,10,"New Hampshire","LuxurySedan",3,"0"
2154,67837,395242,"Education",50,3,13,"Ontario","LuxurySedan",3,"0"
2157,75118,352347,"Govt",52,8,10,"Vermont","Sedan",3,"1"
2165,160372,533893,"Finance",52,3,16,"Quebec","Sedan",3,"0"
2171,92139,496151,"Education",52,6,16,"Maine","SUV",3,"0"
2175,121005,499162,"Finance",49,3,17,"Maine","LuxurySedan",3,"0"
2179,94843,547107,"Education",55,6,22,"Connecticut","LuxurySedan",2,"0"
2189,78555,395910,"Other",53,3,17,"New Hampshire","SUV",2,"0"
2202,102378,442546,"Other",50,6,10,"Connecticut","Sedan",2,"0"
2231,143112,487223,"Tech",50,4,12,"Ontario","LuxurySedan",2,"0"
2232,39640,369458,"Govt",52,4,8,"Vermont","Sedan",2,"0"
2252,39327,421119,"Govt",49,7,23,"Maine","SUV",2,"0"
2255,146532,505953,"Tech",54,4,15,"Maine","SUV",3,"0"
2259,126108,541267,"Finance",49,6,8,"Maine","Compact/Hybrid",1,"0"
2267,97367,485386,"Services",49,4,15,"Vermont","Sedan",3,"0"
2273,91571,471939,"Education",51,8,15,"Ontario","Pickup",1,"0"
2284,113484,450954,"Finance",48,5,12,"Quebec","LuxurySedan",2,"0"
2306,120621,554150,"Services",51,7,8,"Quebec","LuxurySedan",3,"0"
2313,115776,457836,"Finance",50,6,14,"Quebec","LuxurySedan",3,"0"
2316,118755,438146,"Tech",53,6,10,"Rhode Island","Pickup",3,"0"
2356,76739,366599,"Finance",51,5,15,"Vermont","Pickup",2,"0"
2360,101975,527265,"Education",49,4,16,"Maine","LuxurySedan",3,"0"
2371,143786,577732,"Finance",52,5,15,"New Hampshire","",3,"0"
2379,52277,446096,"Education",51,4,13,"US_Other","Sedan",3,"0"
2383,73524,429316,"Govt",49,5,10,"New Hampshire","SUV",2,"0"
2386,115827,452958,"Tech",51,2,8,"Maine","Compact/Hybrid",3,"0"
2394,79196,578804,"Govt",49,5,22,"Vermont","SUV",3,"0"
2397,107528,470061,"Finance",53,6,13,"Maine","",3,"0"
2418,111626,575456,"Tech",54,3,11,"Maine","",3,"0"
2432,81750,439592,"Education",49,3,14,"Ontario","SUV",3,"0"
2452,133666,569036,"Tech",48,6,11,"New Hampshire","SUV",1,"0"
2468,71104,347716,"Tech",60,4,8,"Quebec","Sedan",1,"0"
2476,109497,555790,"Govt",49,8,15,"Maine","Sedan",2,"0"
2478,123177,476588,"Finance",49,8,12,"US_Other","LuxurySedan",1,"0"
2497,147386,482007,"Tech",50,2,12,"Can_Other","SUV",2,"0"
2504,123158,434538,"Tech",49,4,8,"New York","Compact/Hybrid",3,"0"
2508,134081,461884,"Govt",55,4,24,"New Hampshire","Sedan",1,"0"
2511,86753,458127,"Govt",51,7,14,"Vermont","Compact/Hybrid",3,"0"
2513,129114,486622,"Tech",49,3,9,"Massachusetts","LuxurySedan",1,"0"
2530,70174,425794,"Services",48,6,16,"Maine","SUV",3,"0"
2535,71295,376315,"Finance",51,2,5,"Maine","Compact/Hybrid",3,"0"
2536,95172,519227,"Govt",48,7,14,"Maine","SUV",1,"0"
2538,41673,383968,"Govt",49,6,7,"New York","Pickup",3,"0"
2542,113811,406708,"Tech",50,2,17,"Rhode Island","",3,"0"
2544,119438,607163,"Govt",49,5,9,"Maine","LuxurySedan",3,"0"
2545,79326,395897,"Services",49,6,13,"Maine","SUV",2,"0"
2550,122535,500785,"Tech",48,5,12,"Massachusetts","Sedan",3,"0"
2553,107553,547567,"Govt",49,3,14,"Maine","SUV",3,"0"
2554,85497,509372,"Education",52,1,52,"New York","Sedan",3,"0"
2564,103150,333758,"Tech",58,2,10,"US_Other","Compact/Hybrid",3,"0"
2573,74057,355051,"Manufacturing",50,4,3,"New Hampshire","SUV",2,"0"
2580,131259,663337,"Services",48,9,14,"Maine","SUV",3,"0"
2596,87492,575094,"Govt",49,3,12,"US_Other","SUV",1,"0"
2597,124925,488144,"Tech",51,6,10,"New York","SUV",3,"0"
2601,118667,474785,"Tech",50,4,17,"Connecticut","Pickup",1,"0"
2612,107114,409791,"Finance",48,3,14,"Maine","Sedan",2,"0"
2621,54082,477760,"Govt",50,4,12,"Maine","Compact/Hybrid",3,"0"
2622,123220,406530,"Tech",50,4,15,"Maine","SUV",1,"0"
2626,139919,505359,"Manufacturing",50,1,50,"New Hampshire","Sedan",3,"0"
2633,78517,439835,"Govt",50,3,6,"Maine","SUV",2,"0"
2635,115137,426346,"Tech",56,6,14,"Maine","LuxurySedan",3,"0"
2644,33463,301948,"Govt",51,4,15,"Vermont","",2,"0"
2645,115608,521015,"Services",50,5,15,"Maine","Pickup",3,"0"
2646,84998,549635,"Services",49,2,16,"Maine","SUV",3,"1"
2661,97079,383826,"Finance",55,4,14,"Ontario","SUV",3,"0"
2664,83019,472697,"Education",60,5,21,"Vermont","SUV",2,"0"
2666,148793,601258,"Finance",53,3,12,"Ontario","Compact/Hybrid",3,"0"
2709,139998,545938,"Tech",53,2,10,"Maine","SUV",2,"0"
2710,44606,347655,"Govt",52,5,14,"Maine","SUV",3,"0"
2719,124859,469418,"Finance",51,7,10,"Vermont","LuxurySedan",3,"0"
2721,99581,458419,"Govt",51,1,51,"Maine","Sedan",1,"0"
2725,84777,538275,"Govt",51,6,11,"New York","SUV",3,"0"
2727,99262,571190,"Govt",48,7,9,"Maine","SUV",3,"0"
2729,132669,466591,"Tech",54,4,13,"Vermont","SUV",3,"1"
2731,113266,474559,"Finance",51,3,12,"New Hampshire","SUV",2,"0"
2732,111017,480061,"Tech",52,2,10,"Quebec","SUV",2,"0"
2733,151580,604322,"Finance",48,3,15,"Ontario","SUV",2,"0"
2736,126006,375182,"Finance",52,1,52,"Maine","LuxurySedan",3,"0"
2739,53268,413655,"Govt",49,7,15,"Maine","Compact/Hybrid",3,"0"
2740,113420,472416,"Other",49,6,13,"New York","SUV",3,"0"
